event_id,kickoff_at,season,side,odd,model_probability,market_probability_devig,gross_ev,won,profit,clv
13473343,2025-03-29T21:30:00+00:00,2025,under,1.667,0.5817440199490406,0.5632695834424941,-0.03023271874494937,False,-1.0,-0.029560155239327313
13473341,2025-03-29T21:30:00+00:00,2025,under,1.7,0.563373995353252,0.5526315789473684,-0.042264207899471495,True,0.7,0.01887273654679933
13473340,2025-03-30T19:00:00+00:00,2025,under,1.95,0.5891766771634792,0.48684210526315796,0.14889452046878437,True,0.95,0.02631578947368407
13473339,2025-03-30T21:30:00+00:00,2025,over,2.2,0.4314882447551758,0.4285714285714286,-0.05072586153861325,True,1.2000000000000002,-0.08072445019404917
13473342,2025-03-31T23:00:00+00:00,2025,under,2.15,0.5705856950916421,0.4367304165575059,0.22675924444703055,False,-1.0,0.2110296044013622
13473356,2025-04-05T21:30:00+00:00,2025,under,2.15,0.5895802582006413,0.4367304165575059,0.26759755513137873,True,1.15,0.2885743432797756
13473350,2025-04-05T21:30:00+00:00,2025,under,1.9,0.5493355611074866,0.5,0.04373756610422452,False,-1.0,0.050000000000000044
13473349,2025-04-06T00:00:00+00:00,2025,over,1.9,0.5013198904758707,0.5,-0.047492208095845756,False,-1.0,-0.07499999999999996
13473353,2025-04-06T19:00:00+00:00,2025,under,2.4,0.5889317492821319,0.3897787948131197,0.4134361982771164,True,1.4,0.6140350877192986
13473348,2025-04-06T19:00:00+00:00,2025,under,2.2,0.5743276472359291,0.4285714285714285,0.2635208239190441,False,-1.0,0.3185411884723286
13473354,2025-04-06T21:30:00+00:00,2025,under,2.15,0.5523398614023558,0.4367304165575059,0.18753070201506494,False,-1.0,0.2110296044013622
13473352,2025-04-06T21:30:00+00:00,2025,under,1.615,0.5901681889654473,0.5821474773609314,-0.04687837482080259,True,0.615,0.030429447852760694
13473357,2025-04-06T21:30:00+00:00,2025,under,2.1,0.5861158481617337,0.4473684210526315,0.2308432811396408,False,-1.0,0.3125
13473355,2025-04-06T21:30:00+00:00,2025,under,2.15,0.590099962175809,0.4367304165575059,0.26871491867798913,False,-1.0,0.34375
13473351,2025-04-06T23:30:00+00:00,2025,under,2.25,0.5881367298621551,0.4178525226390686,0.3233076421898491,False,-1.0,0.37299771167048057
13473367,2025-04-12T19:00:00+00:00,2025,under,2.35,0.5830180275775405,0.4006630961489416,0.3700923648072203,False,-1.0,0.38589743589743564
13473362,2025-04-12T19:00:00+00:00,2025,under,2.075,0.5795315087334068,0.4542346133613887,0.20252788062181915,True,1.0750000000000002,0.18571428571428594
13473360,2025-04-12T21:30:00+00:00,2025,under,1.727,0.5834853810881713,0.5457653866386112,0.007679253139271758,True,0.7270000000000001,0.07937499999999997
13473359,2025-04-13T00:00:00+00:00,2025,under,1.667,0.5737178737027362,0.5632695834424941,-0.043612304537538726,False,-1.0,-0.029560155239327313
13473365,2025-04-13T19:00:00+00:00,2025,under,1.9,0.5821712624611517,0.5,0.10612539867618809,True,0.8999999999999999,0.050000000000000044
13473364,2025-04-13T20:30:00+00:00,2025,under,1.95,0.5893200586684187,0.48684210526315796,0.14917411440341644,True,0.95,0.06424250394529207
13473361,2025-04-13T20:30:00+00:00,2025,under,2.1,0.5749645741188143,0.4473684210526315,0.20742560564951007,True,1.1,0.33987730061349697
13473358,2025-04-13T22:30:00+00:00,2025,under,2.2,0.5563193942746373,0.4285714285714285,0.22390266740420217,True,1.2000000000000002,0.40368098159509214
13473366,2025-04-13T23:00:00+00:00,2025,under,2.25,0.5871147349100955,0.4178525226390686,0.3210081535477147,True,1.25,0.30983182406209564
13473363,2025-04-13T23:30:00+00:00,2025,under,2.15,0.5872880267236482,0.4367304165575059,0.2626692574558436,False,-1.0,0.22857142857142865
13473376,2025-04-16T00:30:00+00:00,2025,over,2.3,0.41229587905414483,0.41025641025641024,-0.05171947817546696,True,1.2999999999999998,-0.07847487885743454
13473369,2025-04-16T21:30:00+00:00,2025,over,2.1,0.4630673221364079,0.4473684210526316,-0.027558623513543434,True,1.1,-0.239877300613497
13473372,2025-04-16T22:00:00+00:00,2025,under,2.15,0.5851179460650533,0.4367304165575059,0.25800358403986445,False,-1.0,0.3119755911517925
13473377,2025-04-16T22:00:00+00:00,2025,under,2.15,0.5867528801072028,0.4367304165575059,0.26151869223048596,True,1.15,0.2110296044013622
13473370,2025-04-16T22:30:00+00:00,2025,under,1.7,0.557068227453482,0.5526315789473684,-0.05298401332908076,True,0.7,0.10762548262548277
13473374,2025-04-16T22:30:00+00:00,2025,over,2.3,0.41624698853634773,0.41025641025641024,-0.04263192636640034,False,-1.0,-0.13750000000000007
13473368,2025-04-17T00:30:00+00:00,2025,under,2.05,0.5301224196312115,0.4605263157894737,0.08675096024398354,False,-1.0,-0.08289473684210535
13473371,2025-04-17T00:30:00+00:00,2025,under,1.615,0.5886747185036421,0.5821474773609314,-0.049290329616618056,True,0.615,-0.032070900280540604
13473375,2025-04-17T00:30:00+00:00,2025,over,2.35,0.4091137744070641,0.4006630961489415,-0.038582630143399355,True,1.35,-0.1493865030674847
13473373,2025-04-18T00:30:00+00:00,2025,under,2.15,0.5817181370129679,0.4367304165575059,0.250693994577881,False,-1.0,0.2516170763260026
13473380,2025-04-19T19:00:00+00:00,2025,under,1.95,0.532837759619962,0.48684210526315796,0.039033631258925894,False,-1.0,0.0776315789473685
13473379,2025-04-19T21:30:00+00:00,2025,under,1.85,0.5870829745840123,0.513157894736842,0.08610350298042269,True,0.8500000000000001,-0.0019736842105262387
13473384,2025-04-20T00:00:00+00:00,2025,under,2.25,0.588282384737248,0.4178525226390686,0.323635365658808,True,1.25,0.40625
13473387,2025-04-20T14:00:00+00:00,2025,under,2.2,0.5883437224805701,0.4285714285714285,0.2943561894572544,False,-1.0,0.2807244501940491
13473383,2025-04-20T19:00:00+00:00,2025,over,2.3,0.4203463003621106,0.41025641025641024,-0.03320350916714565,False,-1.0,0.0044799580822636464
13473381,2025-04-20T19:00:00+00:00,2025,under,2.4,0.5581923184997335,0.3897787948131197,0.33966156439936035,False,-1.0,0.5637065637065639
13473378,2025-04-20T21:30:00+00:00,2025,under,1.85,0.5724103369775904,0.513157894736842,0.05895912340854226,True,0.8500000000000001,0.15625
13473386,2025-04-20T21:30:00+00:00,2025,over,2.5,0.409002439938674,0.375,0.022506099846685057,True,1.5,0.02564102564102555
13473382,2025-04-20T23:30:00+00:00,2025,under,1.95,0.5835202372141511,0.48684210526315796,0.13786446256759466,True,0.95,0.13518758085381632
13473385,2025-04-21T23:00:00+00:00,2025,under,2.5,0.5831552522771271,0.375,0.45788813069281753,True,1.5,0.3157894736842104
13473394,2025-04-26T19:00:00+00:00,2025,under,1.95,0.5392642349049381,0.48684210526315796,0.051565258064629305,False,-1.0,-0.07631578947368434
13473396,2025-04-26T21:30:00+00:00,2025,over,2.35,0.4093872253669205,0.4006630961489415,-0.037940020387736806,False,-1.0,-0.33814705260933864
13473392,2025-04-26T21:30:00+00:00,2025,over,2.3,0.42806234144945593,0.41025641025641024,-0.015456614666251478,True,1.2999999999999998,-0.10350877192982455
13473397,2025-04-26T23:00:00+00:00,2025,under,2.2,0.5878781863581912,0.4285714285714285,0.2933320099880208,True,1.2000000000000002,0.3185411884723286
13473389,2025-04-27T00:00:00+00:00,2025,under,2.15,0.5607328243395002,0.4367304165575059,0.20557557232992552,True,1.15,0.3119755911517925
13473388,2025-04-27T19:00:00+00:00,2025,under,1.95,0.5655564944493461,0.48684210526315796,0.10283516417622485,False,-1.0,0.06424250394529207
13473393,2025-04-27T21:30:00+00:00,2025,under,1.95,0.5797521670689674,0.48684210526315796,0.13051672578448636,True,0.95,0.24417177914110422
13473390,2025-04-27T21:30:00+00:00,2025,over,2.0,0.48452901603877513,0.47368421052631576,-0.030941967922449742,False,-1.0,-0.052631578947368474
13473395,2025-04-27T21:30:00+00:00,2025,under,2.35,0.5697317557062613,0.4006630961489416,0.33886962590971414,True,1.35,0.4340198321891686
13473391,2025-04-27T23:30:00+00:00,2025,under,2.4,0.5907316314145357,0.3897787948131197,0.41775591539488555,False,-1.0,0.37142857142857166
13473401,2025-05-03T00:30:00+00:00,2025,under,1.7,0.5862787108256032,0.5526315789473684,-0.003326191596474515,True,0.7,0.0625
13473406,2025-05-03T21:30:00+00:00,2025,under,2.075,0.5906080551965831,0.4542346133613887,0.22551171453290997,True,1.0750000000000002,0.3954678362573103
13473400,2025-05-03T21:30:00+00:00,2025,under,2.1,0.5888119870071294,0.4473684210526315,0.23650517271497185,False,-1.0,0.3125
13473398,2025-05-03T21:30:00+00:00,2025,under,1.75,0.5463697373352432,0.5394736842105263,-0.043852959663324365,False,-1.0,0.04883958173935232
13473405,2025-05-04T00:00:00+00:00,2025,under,1.95,0.5887518513225518,0.48684210526315796,0.14806611007897597,True,0.95,0.05197368421052628
13473404,2025-05-04T19:00:00+00:00,2025,under,2.1,0.5728812726844619,0.4473684210526315,0.20305067263736998,True,1.1,0.25860749808722283
13473399,2025-05-04T19:00:00+00:00,2025,under,2.25,0.587573009896544,0.4178525226390686,0.32203927226722406,True,1.25,0.2673565627456118
13473403,2025-05-04T21:30:00+00:00,2025,under,1.65,0.5882653007360903,0.5714285714285714,-0.029362253785451098,False,-1.0,-0.03945666235446321
13473402,2025-05-05T22:00:00+00:00,2025,under,2.05,0.5756893634254865,0.4605263157894737,0.1801631950222471,True,1.0499999999999998,0.13289473684210518
13473407,2025-05-05T23:00:00+00:00,2025,under,2.1,0.5867315848707673,0.4473684210526315,0.2321363282286113,True,1.1,0.23846153846153828
13473416,2025-05-10T19:00:00+00:00,2025,under,1.95,0.5546174330501936,0.48684210526315796,0.08150399444787748,False,-1.0,0.0006578947368418575
13473414,2025-05-10T21:30:00+00:00,2025,under,2.0,0.5909428119089066,0.4736842105263158,0.18188562381781326,True,1.0,0.16429495472186284
13473412,2025-05-10T21:30:00+00:00,2025,under,1.9,0.5911656692718645,0.5,0.1232147716165426,False,-1.0,0.07021220854073884
13473415,2025-05-10T21:30:00+00:00,2025,under,2.1,0.5780290762764773,0.4473684210526315,0.21386106018060236,False,-1.0,0.20000000000000018
13473408,2025-05-11T00:00:00+00:00,2025,under,2.4,0.5287728944509986,0.3897787948131197,0.2690549466823966,True,1.4,0.23157894736842088
13473417,2025-05-11T19:00:00+00:00,2025,under,2.5,0.5915011436577398,0.375,0.4787528591443495,False,-1.0,0.5625
13473413,2025-05-11T20:30:00+00:00,2025,under,2.5,0.5912014202769098,0.375,0.4780035506922746,False,-1.0,0.4983422596276461
13473410,2025-05-11T20:30:00+00:00,2025,over,2.5,0.445349247137777,0.375,0.1133731178444426,False,-1.0,-0.0625
13473409,2025-05-11T23:00:00+00:00,2025,under,2.3,0.5763930893543243,0.41025641025641035,0.3257041055149459,False,-1.0,0.2552603892688059
13473411,2025-05-12T23:00:00+00:00,2025,under,2.3,0.5884850153632177,0.41025641025641035,0.3535155353354007,True,1.2999999999999998,0.46748466257668686
13473426,2025-05-17T19:00:00+00:00,2025,under,2.4,0.5645697544976633,0.3897787948131197,0.35496741079439187,True,1.4,0.46453089244851253
13473419,2025-05-17T21:30:00+00:00,2025,over,2.5,0.4076563313795468,0.375,0.019140828448866998,True,1.5,-0.025553012967200583
13473421,2025-05-18T00:00:00+00:00,2025,under,2.4,0.570606743503447,0.3897787948131197,0.36945618440827266,False,-1.0,0.4384085692425401
13473425,2025-05-18T19:00:00+00:00,2025,under,2.1,0.5847692708334946,0.4473684210526315,0.22801546875033885,False,-1.0,0.25860749808722283
13473420,2025-05-18T19:00:00+00:00,2025,under,2.15,0.5280729066179067,0.4367304165575059,0.1353567492284995,True,1.15,0.34375
13473427,2025-05-18T19:00:00+00:00,2025,under,2.1,0.5919033575598089,0.4473684210526315,0.24299705087559875,True,1.1,0.23846153846153828
13473418,2025-05-18T21:30:00+00:00,2025,under,2.5,0.5824487597794636,0.375,0.4561218994486591,True,1.5,0.4983422596276461
13473422,2025-05-18T21:30:00+00:00,2025,under,2.25,0.5918433716014644,0.4178525226390686,0.3316475861032948,False,-1.0,0.32692307692307665
13473423,2025-05-18T23:30:00+00:00,2025,under,2.5,0.5725678322533321,0.375,0.4314195806333303,True,1.5,0.5625
13473424,2025-05-18T23:30:00+00:00,2025,under,2.075,0.5657416968218012,0.4542346133613887,0.17391402090523767,True,1.0750000000000002,0.13246317727511858
13473428,2025-05-24T21:30:00+00:00,2025,under,1.667,0.5659083896774444,0.5632695834424941,-0.05663071440770018,False,-1.0,0.017238749046529556
13473431,2025-05-24T21:30:00+00:00,2025,under,1.7,0.5783123562705488,0.5526315789473684,-0.016868994340067056,True,0.7,0.01887273654679933
13473434,2025-05-25T00:00:00+00:00,2025,under,2.05,0.5919907607542796,0.4605263157894737,0.21358105954627304,True,1.0499999999999998,0.19340232858990936
13473435,2025-05-25T14:00:00+00:00,2025,under,2.25,0.5891756154669976,0.4178525226390686,0.32564513480074453,True,1.25,0.24342105263157898
13473430,2025-05-25T19:00:00+00:00,2025,under,2.7,0.582278613675534,0.34845559845559837,0.5721522569239419,True,1.7000000000000002,0.6475972540045769
13473438,2025-05-25T19:00:00+00:00,2025,under,2.1,0.5842980904814633,0.4473684210526315,0.22702599001107293,True,1.1,0.25860749808722283
13473436,2025-05-25T21:30:00+00:00,2025,under,2.4,0.5551168716704749,0.3897787948131197,0.33228049200913956,True,1.4,0.46453089244851253
13473437,2025-05-25T23:30:00+00:00,2025,under,2.4,0.5803387928743681,0.3897787948131197,0.39281310289848337,True,1.4,0.46453089244851253
13473432,2025-05-26T23:00:00+00:00,2025,under,1.8,0.5485899736210565,0.5263157894736843,-0.012538047482098191,True,0.8,-0.07631578947368434
13472704,2025-05-31T21:30:00+00:00,2025,under,2.4,0.5876679841698258,0.3897787948131197,0.41040316200758187,False,-1.0,0.5637065637065639
